Job Title,Location,Link,Job Responsibilities,Profile,Additional Information
Retail Operations Manager (M/W/D)LVMH Fragrance BrandsReference: LVMHFB01994,Retail Operations Manager (M/W/D),https://www.lvmh.com/join-us/our-job-offers/LVMHFB01994,Not Available,"ProfileWAS DICH AUSZEICHNET

Erfolgreich abgeschlossenes Studium in Betriebswirtschaftslehre oder einem vergleichbaren Bereich
Relevante Berufserfahrung im Sales-, Retail- oder Backoffice-Management, idealerweise in einem internationalen Umfeld
Begeisterung für IT-Systeme und Datenanalysen, sicherer Umgang mit Excel, und idealerweise erste Erfahrung mit Power BI
Selbstständige Arbeitsweise, analytisches Denken und ein gutes Verständnis für das operative Geschäft
Hands-on-Mentalität, Teamfähigkeit, und Offenheit für eine Vielzahl an Themen und Herausforderungen
Ausgezeichnete Kommunikationsfähigkeiten, Organisationstalent und ein starkes Engagement für hohe Service- und Qualitätsstandards
Verhandlungssichere Deutsch- und sehr gute Englischkenntnisse; zusätzliche Sprachkenntnisse sind von Vorteil","Additional informationWAS WIR BIETEN

Arbeiten beim Weltmarktführer im Luxus, an einem lokalen Standort mit offener Atmosphäre, flachen Hierarchien und Du-Kultur
Zwei ikonische Marken mit Couture-Erbe und mutigen Parfum- und Beauty-Produkten
Herzliche Teams mit einer „Can-Do“-Einstellung, die Ideen mit Leidenschaft voranbringen
Ein Büro in Norden Düsseldorfs mit guter Verkehrsanbindung und bester Rheinlage
Attraktive internationale Karrieremöglichkeiten bei GIVENCHY & KENZO und in 75+ einzigartigen LVMH Maisons
Flexible Arbeitszeiten und mobiles Arbeiten – moderne Ausstattung mit Laptop, Headset, Smartphone
Unbefristete Festanstellung, 30 Tage Jahresurlaub (in Vollzeit, variabler Bonus, betriebliche Altersvorsorge, vwL & mehr
Gesundheits- & Fitnessangebote
Jährliches Kontingent an kostenlosen und vergünstigten GIVENCHY & KENZO Beauty-Produkten
Weitere Mitarbeiterrabatte über Family & Friends Angebote und ""Corporate Benefits"""
Team Manager (m/w/d) Operations Louis VuittonReference: LVM25330,Team Manager (m/w/d) Operations,https://www.lvmh.com/join-us/our-job-offers/LVM25330,"Job responsibilitiesIhre Aufgaben:
• Proaktive Unterstützung des Store Managers
• Wichtigste Schnittstelle zum Retail Performance Management sowie unserer Supply Chain
• Kennzahlenorientierte Steuerung des Verantwortungsbereiches sowie kontinuierliche Optimierung unserer KPIs
• Rekrutierung, Einarbeitung und Weiterentwicklung der Mitarbeiter des Teams sowie Definition von Entwicklungspotential in Abstimmung mit dem Store Manager und Human Resources
• Unterstützung bei der Organisation von Kundenevents
• Mitarbeiterführung, -planung und -entwicklung anhand diverser Personalentwicklungsinstrumente
• Regelmäßiges Reporting und Bereitstellung von kaufmännischen Informationen gegenüber dem Store Manager und/oder dem Head Office","ProfileIhre Qualifikationen:
• Erfolgreich abgeschlossenes Studium oder vergleichbarer Ausbildungshintergrund
• Mehrjährige Berufspraxis mit Führungserfahrung
• Große Affinität zu Organisation und Planung sowie hohe Serviceorientierung
• Ausgeprägtes unternehmerisches und strategisches Denkvermögen, verbunden mit einem pragmatischen Handlungsansatz
• Exzellente analytische Fähigkeiten sowie leistungs- und ergebnisorientierte Arbeitsweise
• Sehr gute Englischkenntnisse in Wort und Schrift, weitere Fremdsprachen von Vorteil","Additional informationWir bieten Ihnen eine interessante und abwechslungsreiche Tätigkeit in einem internationalen, multikulturellen und dynamischen Ambiente, nette Kollegen und herausfordernde Aufgaben sowie attraktive Sozialleistungen. Zudem erhalten Sie eine umfangreiche Einarbeitung. Jährliche Mitarbeitergespräche geben Rückmeldung und zeigen Ihnen persönliche und berufliche Perspektiven innerhalb der LVMH-Gruppe auf. Fort- und Weiterbildungsangebote runden unser attraktives Angebot ab."
"Legal Counsel (m/f/d) Central Europe, Head Office MunichChristian Dior CoutureReference: CDC08751","Legal Counsel (m/f/d) Central Europe, Head Office Munich",https://www.lvmh.com/join-us/our-job-offers/CDC08751,"Job responsibilities“Whatever you do — for work or pleasure — do it with passion! Live with passion!” Christian Dior
Christian Dior Couture offers more than a beautiful brand to our clients; We invite them to be part of the heritage, to share our passion for luxury and to be part of the Dior family. We look for the same desire in our employees, to have enthusiasm and passion about being part of the House of Dior.
Our EMEA Legal Department acts as a Business Partner to all the Departments of Christian Dior's subsidiaries in Europe, Africa and the Middle East, closely involved in strategic and operational decisions. We are looking for a Legal Counsel based in our Munich Head Office to work alongside the EMEA Legal Department for the Central Europe (Germany, Austria and Switzerland), Czech Republic and Poland. You will be responsible for advising all the teams in these zones. 
The EMEA department is involved in all internal and external legal issues, upstream and downstream of the marketing of Christian Dior Couture products. They train stakeholders, provide the necessary tools and ensure that recommendations and actions addressed by central and regional teams are understood for decision-making and contractualization.
 
TASKS & RESPONSIBILITIES
 

Consulting, negotiating and drafting of various contracts, for e.g., Commercial Pre-Litigation and Litigation
Coordinating and regular updating of the general terms and conditions of sales terms and conditions of purchase
Supporting the zones with compliance issues (AML, third-party due diligence, anti-corruption, etc.)
Identifying legal risks and developing strategies to mitigate them effectively
Proactive anticipation of structuring regulatory changes and searching for business-oriented solutions and contributing to the digitization of legal activities 
Working closely with the EMEA Legal Department and building relationships with local law firms","Profile
German diploma in Business Law, Economic Law, European Business Law, and [German Bar]
At least 5 years' successful experience, ideally as a Lawyer and in-house Legal Counsel
Strong understanding of European laws and regulations, particularly in Central Europe
Excellent negotiation, communication, and interpersonal skills
Ability to work independently and collaboratively in a fast-paced environment
Fluent in German and English, another language on top is a plus","Additional informationThe opportunity to join the LVMH Group (Louis Vuitton Moët Hennessy), the world leader in high-quality and luxury products. We are working in an international environment with passionate people and amazing development opportunities – as we follow the lifelong learning approach.
Working at Dior is not only about entering the world of exclusive luxury, it also offers lovely benefits.

Holiday entitlement of 6 weeks per year
Lunch benefit of 100€ net per month
Public transportation support of 100€ net per month
Additional day off on birthday
Access to Corporate Benefits
Special Employee conditions after successful completion of probation period
Pension Scheme exclusive for DIOR
Referral Program Bonus “Talents are knowing good Talents”
Family atmosphere & flat hierarchies

DIOR is an equal opportunity employer and encourages candidates from all backgrounds to apply. We thank all applicants for their interest.
We are looking forward to receiving your application."
Werkstudent Finanzbuchhaltung (m/w/d)RimowaReference: RIM01144,Werkstudent Finanzbuchhaltung (m/w/d),https://www.lvmh.com/join-us/our-job-offers/RIM01144,"Job responsibilities
Unterstützung des Finanzteams im Tagesgeschäft und in Projekten
Eigenständige Erledigung von zugewiesenen Teilprojektaufgaben
Unterstützung bei administrativen Aufgaben der Abteilung","Profile
Student (m/w/d) im Bereich Wirtschaftswissenschaften oder Betriebswirtschaftslehre, idealerweise mit dem Schwerpunkt Finanzen oder einem vergleichbaren Studiengang
Grundlegende Buchhaltungskenntnisse sind von Vorteil
Sicherer Umgang mit MS-Office (insbesondere Excel)
Strukturierte, eigenverantwortliche und gewissenhafte Arbeitsweise
Ausgeprägte Teamfähigkeit und Problemlösungskompetenz","Additional informationWIR BIETEN DIR UNTER ANDEREM:

Bezahlte Urlaubstage
Flexible Arbeitszeiten
Internationales Umfeld innerhalb des LVHM-Netzwerks
Spannende Projektmöglichkeiten
30% Rabatt auf das RIMOWA-Sortiment
Firmenvorteile (z.B. für Sport, Lifestyle, Mode, etc.)
Regelmäßige Private Sales der LVMH Gruppe
Regelmäßige Mitarbeiter Events (Sommerfest, Weihnachtsfeier, After Work Events)
Gute Verkehrsanbindung, Mitarbeiterparkplätze, Deutschlandticket, Jobrad
Tolle Betriebskantine

WERDE TEIL VON RIMOWA:
Bitte sende uns deine vollständigen Bewerbungsunterlagen mit Angabe des nächstmöglichen Eintrittstermins über unser Bewerbungsportal zu.
Wir freuen uns auf deine Bewerbung!
Suche uns auf Instagram und Twitter @RIMOWA oder besuche uns auf unserer LVMH Karriere Seite:
https://www.lvmh.com/talents/work-with-us/job-offers/view-our-current-opportunities/?job=&place=8052&experience=&activity=&contract=&reference=&order=company&by=desc
Diversität und Inklusion sind feste Bestandteile von RIMOWAs Unternehmenskultur. Wir wissen, dass es Grundvoraussetzung für unseren Erfolg ist, dass weltweit Menschen mit unterschiedlichsten Persönlichkeiten, Erfahrungsschätzen und Fähigkeiten zusammen arbeiten und so auch die Diversität unserer Kunden widerspiegeln. Divers aufgestellte Teams sind für uns ein Schlüssel zum nachhaltigen Wachstum unseres Unternehmens."
"Sales Associate (m/f/d) Munich, MaximilianstrasseChristian Dior CoutureReference: CDC09901","Sales Associate (m/f/d) Munich, Maximilianstrasse",https://www.lvmh.com/join-us/our-job-offers/CDC09901,"Job responsibilities“Whatever you do — for work or pleasure — do it with passion! Live with passion!” Christian Dior
Christian Dior Couture offers more than a beautiful brand to our clients; We invite them to be part of the heritage, to share our passion for luxury and to be part of the Dior family. We look for the same desire in our employees, to have enthusiasm and passion about being part of the House of Dior.
For our boutique in Munich, we are looking for a Sales Associate talent with passion and drive. As a member of our team, you are responsible for excellent customer care and service quality according to our current standards. You are the ambassador of the Maison Christian Dior and make every customer feel welcomed and cherished on an exclusive level.
 
TASKS & RESPONSIBILITIES

Achieve and exceed individual Sales Goals and Key Performance Indicators (KPI)
Maintain a strong drive for results and a positive mindset at all times
Ensure a welcoming client focused environment, which includes offering best in class service, in person, over the phone and through electronic communication
Develop local and international client book with the ability to recruit and develop top clients
Demonstrate strong product expertise, engage clients through the details and stories of our products
Problem-solving in partnership with the management team to ensure that each client issue is properly resolved to the benefit of the business and the client","Profile
2+ years of experience in retail or hospitality environment
Strong drive for business results with a passion for creativity, fashion and the Maison
Strong communication skills, empathy, and agile mindset
Ability to develop lasting relationships with people through strong communication
Provide outstanding customer service including in person, over the phone and through electronic communication
Prioritization and time management skills in a fast-paced environment
Fluent in German and English, another language on top is a plus","Additional informationThe opportunity to join the LVMH Group (Louis Vuitton Moët Hennessy), the world leader in high-quality and luxury products. We are working in an international environment with passionate people and amazing development opportunities – as we follow the lifelong learning approach. 
Working at Dior is not only about entering the world of exclusive luxury, it also offers lovely benefits. 

Holiday entitlement of 6 weeks per year 
Lunch benefit of 100€ net per month 
Public transportation support of 100€ net per month
Additional day off on birthday
Access to Corporate Benefits
Special Employee conditions after successful completion of probation period
Pension Scheme exclusive for DIOR
Referral Program Bonus “Talents are knowing good Talents”
Family Atmosphere & Flat Hierarchies
Opportunities for further training and development
Career opportunities withing the LVMH Group

 We are already looking forward receiving your application!"
Stock Room Expert (m/w/x) Hamburg ÜberseequatierSephoraReference: 252059,Stock Room Expert (m/w/x) Hamburg Überseequatier,https://www.lvmh.com/join-us/our-job-offers/252059,Not Available,"ProfileFür unseren Sephora Store im HAMBURG ÜBERSEEQUATIER suchen wir: STOCKROOM EXPERT (m/w/x)  Wir suchen dich als Stockroom ExpertIn mit … … einer Leidenschaft für Logistik, einem Händchen für Organisation und einer Begeisterung für die Beauty Branche.  Dich erwarten … ... eine attraktive Vergütung... überdurchschnittliche Anzahl an Urlaubstagen ... Personalrabatte & Fitnessangebot... eine betriebliche Altersvorsorge... Weiterbilung & Flächentrainings... ein positives Umfeld & respektvolle Teamarbeit  Deine Mission wird es sein, … … die Schnittstelle zwischen Store und Lager zu bilden.… deine Leidenschaft für Logistik in der Kommissionierung und Organisation von Waren zum Ausdruck zu bringen.… die komplette Warenlogistik zu übernehmen, von der Warenannahme bis zur Warenverräumung.… eigenständig Inventuren durchzuführen damit die stets die Warenverfügbarkeit sichergestellt ist… neue Guidelines auszurollen und die Verantwortung für die Ordnung des Lagers zu übernehmen  Wir freuen uns auf dich, wenn du ... … eine dynamische Arbeitsweise und eine ausgeprägte Hands-On Mentalität mitbringst.… bereits erste Erfahrungen im Bereich Stockroom und oder Operations sammeln konntest.… deine Stärken im Bereich Organisation und Belastbarkeit hast.… kurze Gespräche auch auf Englisch führen kannst.  Als Teil der LVMH-Familie liegt es in unserer DNA, innovativ zu sein. Bei Sephora wirst du von engagierten Führungskräften und energiegeladenen Teams umgeben sein, die Spaß daran haben überraschend anders zu sein. Gemeinsam mit dir möchten wir an deinem individuellen Karriereweg arbeiten und deine Kreativität entfesseln, damit du dich weiterentwickeln und deine Fähigkeiten ausbauen kannst.  Hast du Interesse?Bewirb Dich jetzt als „Stockroom ExpertIn Hamburg Überseequatier“ inklusive Lebenslauf und unter Angabe deiner Verfügbarkeit und Gehaltsvorstellung per E-Mail an karriere@sephora.de",Not Available
Make up Artist (m/f/x) Hamburg-ÜberseequartierSephoraReference: 243761,Make up Artist (m/f/x) Hamburg-Überseequartier,https://www.lvmh.com/join-us/our-job-offers/243761,Not Available,"Profile.Make up Artist (m/f/x) for Sephora Hamburg  Are you a retailer by heart and ready for your next career adventure? We are looking for new colleagues to join our teams in Hamburg.In September 2024, we will open a new and beautiful store at: Hamburg-Überseequatier. The Make Up Artist has the role to create memorable experiences and emotional connections with the clients that help make Sephora the most loved Beauty Community. The Make Up Artist accomplishes the store’s objectives by promoting and selling the products.   When working at Sephora:You will be an ambassador for the Sephora brand, you will offer our clients an unforgettable shopping experience following the Sephora Attitude.You'll suggest Sephora products and services that meet your customers' needs to increase your store's sales.You will create magic and provide exceptional moments of joy to your customers.You'll participate in animations and brilliantly undertake commercial challenges!You will receive a great onboarding and be offered a wide palette of training opportunities – we even have our own Sephora University and expert communitiesYou will get an attractive salary incl. bonus, staff discount on our assortment and more...We are an active community, to help you to stay fit we will cover half of your gym membership costs at our cooperating studios.We all need a day off, so we have an above-average number of vacation days to maintain a balance between work and life.Work in an inspiring environment with motivated teams where your ideas are needed to conquer the world of beauty together.Your future is important to us. We support your retirement planning so that you can start the next chapter of your life worry-free. You will shine in this role if:You have completed training in  make-up (training period of at least 6 months) or have at least 3 years of professional experience in beauty or make-up artistry in retail.You are dynamic, enthusiastic, responsive and pay close attention to the little things that make the difference.You are focused and you love working in a team. You are business-oriented and committed to generating sales through customer service and consulting.You feel pride in making the store look excellent. Join Sephora and become part of a dynamic community that lives in the ever-changing universe of beauty, offering our talents unique and challenging career opportunities. Do you want to join us in our adventure? We are excited to receive your application via karriere@sephora.de .",Not Available
Beauty Consultant (m/w/x) Hamburg ÜberseequatierSephoraReference: 243666,Beauty Consultant (m/w/x) Hamburg Überseequatier,https://www.lvmh.com/join-us/our-job-offers/243666,Not Available,"Profile.Beauty Advisor (m/f/x) for Sephora Hamburg  Are you a retailer by heart and ready for your next career adventure? We are looking for new colleagues to join our teams in Hamburg. In September 2024, we will open a new and beautiful store at: Hamburg-Überseequatier. The Beauty Advisor has the role to create memorable experiences and emotional connections with the clients that help make Sephora the most loved Beauty Community. The Beauty Advisor accomplishes the store’s objectives by promoting and selling the products.  You don’t have experience from Beauty? Don’t worry, we will train you… When working at Sephora:You will be an ambassador for the Sephora brand, you will offer our clients an unforgettable shopping experience following the Sephora Attitude.You'll suggest Sephora products and services that meet your customers' needs to increase your store's sales.You will create magic and provide exceptional moments of joy to your customers.You'll participate in animations and brilliantly undertake commercial challenges!You will receive a great onboarding and be offered a wide palette of training opportunities – we even have our own Sephora University and expert communitiesYou will get an attractive salary incl. bonus, staff discount on our assortment and more...We are an active community, to help you to stay fit we will cover half of your gym membership costs at our cooperating studios.We all need a day off, so we have an above-average number of vacation days to maintain a balance between work and life.Work in an inspiring environment with motivated teams where your ideas are needed to conquer the world of beauty together.Your future is important to us. We support your retirement planning so that you can start the next chapter of your life worry-free. You will shine in this role if:You are dynamic, enthusiastic, responsive and pay close attention to the little things that make the difference.You are focused and you love working in a team. You are business-oriented and committed to generating sales through customer service and consulting.You feel pride in making the store look excellent. Join Sephora and become part of a dynamic community that lives in the ever-changing universe of beauty, offering our talents unique and challenging career opportunities. Do you want to join us in our adventure? We are excited to receive your application via karriere@sephora.de .",Not Available
Lager & Logistik Koordinator (m/w/d)TAG HeuerReference: TAGH01787,Lager & Logistik Koordinator (m/w/d),https://www.lvmh.com/join-us/our-job-offers/TAGH01787,Not Available,"ProfileWas Dich auszeichnet:

Du verfügst über relevante Erfahrung im Bereich Lagerhaltung und Logistik, zum Beispiel als Logistikleiter, Teamleiter Logistik, Teamleiter Lagerwesen usw.
Du besitzt Kenntnisse im Export/Import mit einem Schwerpunkt auf Sendungen in die und aus der Schweiz
Du beherrschst Englisch (zusätzlicher Bonus: Französisch) auf Business Niveau
Du arbeitest strukturiert und selbstständig und verfügst über gute Organisationsfähigkeiten
Du kannst Prioritäten setzen und Dein Arbeitspensum entsprechend den Fristen planen
Du bist flexibel in Deiner Arbeit, kannst mit Veränderungen umgehen und im Team arbeiten
Du zeichnest Dich durch ein hohes Maß an Zuverlässigkeit, Motivation und Engagement aus

 
Was wir bieten:

30 Urlaubstage sowie fünf voll bezahlte Krankheitstage pro Kalenderjahr bei Krankheit des Kindes
Monatliche Essensbezuschussung
100% Kostenübernahme des Deutschland-Tickets
Kitazuschuss in Höhe von 100€ pro Monat
Mitarbeiterrabatte innerhalb der Markenwelt des LVMH-Konzerns
Arbeitgebergeförderte, betriebliche Altersvorsorge
Jährliche Mitarbeitergespräche und individuelle Personalentwicklung
Eine offene und familiäre Arbeitsatmosphäre mit Duz-Kultur sowie regelmäßige Mitarbeiterevents

 
KONTAKT
Tickst Du wie wir? Dann freuen wir uns auf Deine Bewerbung.
Personalabteilung:
Naida Fehric
HR Business Partner
LVMH Watch & Jewelry Central Europe GmbH, Zimmersmühlenweg 8-10, D-61440 Oberursel",Not Available
WERKSTUDENT (M/W/D) RETAIL IM LUXUSBEREICH - MÜNCHENTAG HeuerReference: TAGH01785,WERKSTUDENT (M/W/D) RETAIL IM LUXUSBEREICH - MÜNCHEN,https://www.lvmh.com/join-us/our-job-offers/TAGH01785,Not Available,"ProfileWAS DICH AUSZEICHNET

Du befindest Dich innerhalb eines Studiums (Bachelor oder Master)
Du gewinnst durch Deine positive Ausstrahlung und profitierst von guten und empathischen Umgangsformen
Deine wissbegierige Art und Deine schnelle Auffassungsgabe zeichnen Dich in einem dynamischen und aktiven Arbeitsalltag aus
Deine leidenschaftliche Hingabe für Ästhetik und Luxus ermöglichet Dir das Auge für kleinste Details, die den Unterschied machen
Du verfügst über fließende Deutsch- und Englischkenntnisse
Idealerweise konntest Du erste Berufserfahrung im Verkauf oder einem vergleichbaren Bereich im Umgang mit anspruchsvollen Kunden sammeln
Du hast auch samstags Zeit das Hauptgeschäft zu unterstützen

 
WAS WIR BIETEN

Eine intensive Einarbeitung mit persönlicher Betreuung durch die TAG Heuer Learning Lab App und einen umfassenden Einblick ins Retail einer Luxus-Uhrenmarke
Eine anteilige Beteiligung an der monatlichen Verkaufsprämie
100% Kostenübernahme des Deutschland-Tickets
Mitarbeiterrabatte innerhalb der Markenwelt des LVMH-Konzerns
Weiterentwicklungsmöglichkeiten innerhalb des Konzerns
Nationale wie auch internationale Network-Möglichkeiten und viele interne Events
Eine moderne Arbeitsumgebung mit kostenfreien Getränken wie auch Obst für alle Mitarbeiter
Zusammenarbeit mit einem herzlichen und motivierten Team, das für seine Marke brennt

 
Wir freuen uns Dich kennenzulernen!
KONTAKT
Antonia AlbertHuman ResourcesLVMH Watch & Jewelry Central Europe GmbH, Zimmersmühlenweg 8-10, 61440 Oberursel",Not Available
